Coal,España,Francia,HO=F,BZ=F,NG=F,CL=F,Portugal,Date
142.4,2.689167,6.659583,2.363600015640259,81.62000274658203,2.586999893188477,76.98999786376953,2.689583,2024-05-31
142.4,24.3675,19.586667,2.369400024414062,81.86000061035156,2.572000026702881,77.91000366210938,24.3675,2024-05-30
142.4,38.858333,32.212917,2.437000036239624,83.5999984741211,2.493000030517578,79.2300033569336,38.858333,2024-05-29
142.4,27.467083,19.302083,2.464999914169312,84.22000122070312,2.589999914169312,79.83000183105469,30.429583,2024-05-28
142.8,71.665833,71.4075,2.413599967956543,82.12000274658203,2.519999980926514,77.72000122070312,73.110417,2024-05-24
142.75,60.446667,48.427083,2.411799907684326,81.36000061035156,2.657000064849854,76.87000274658203,60.446667,2024-05-23
142.4,44.759167,29.899167,2.43179988861084,81.9000015258789,2.842000007629395,77.56999969482422,44.759167,2024-05-22
142.05,46.090833,32.0925,2.462300062179565,82.87999725341797,2.671000003814697,79.26000213623047,46.090833,2024-05-21
141.0,32.715417,19.495833,2.487099885940552,83.70999908447266,2.750999927520752,79.80000305175781,33.337083,2024-05-20
141.5,53.421667,43.272917,2.486299991607666,83.9800033569336,2.625999927520752,80.05999755859375,53.421667,2024-05-17
143.5,32.35,30.617083,2.443700075149536,83.2699966430664,2.494999885559082,79.2300033569336,32.549583,2024-05-16
143.0,14.212083,18.991667,2.423099994659424,82.75,2.415999889373779,78.62999725341797,14.2475,2024-05-15
142.65,8.140833,6.895,2.420000076293945,82.37999725341797,2.344000101089478,78.0199966430664,8.146667,2024-05-14
142.1,23.336667,23.554167,2.436800003051758,83.36000061035156,2.38100004196167,79.12000274658203,23.36125,2024-05-13
144.4,28.947917,13.920417,2.434400081634521,82.79000091552734,2.252000093460083,78.26000213623047,29.267917,2024-05-10
144.95,33.53875,18.123333,2.47760009765625,83.87999725341797,2.301000118255615,79.26000213623047,35.73875,2024-05-09
145.25,21.245,21.98,2.476099967956543,83.58000183105469,2.187000036239624,78.98999786376953,21.674583,2024-05-08
146.4,42.04125,63.765833,2.46560001373291,83.16000366210938,2.207000017166138,78.37999725341797,43.26,2024-05-07
145.3,47.805,68.480417,2.461400032043457,83.33000183105469,2.194999933242798,78.4800033569336,47.805,2024-05-06
145.15,26.110417,24.474167,2.443399906158447,82.95999908447266,2.141999959945679,78.11000061035156,26.110417,2024-05-03
147.75,15.6025,17.51625,2.443099975585938,83.66999816894531,2.035000085830688,78.94999694824219,15.6025,2024-05-02
147.0,12.530833,13.938333,2.451900005340576,83.44000244140625,1.932000041007996,79.0,12.63625,2024-05-01
142.25,53.435833,58.892917,2.513400077819824,87.86000061035156,1.991000056266785,81.93000030517578,53.435833,2024-04-30
137.4,58.2725,61.235833,2.531300067901611,88.4000015258789,2.029999971389771,82.62999725341797,58.2725,2024-04-29
129.75,57.49125,80.6475,2.548199892044067,89.5,1.613999962806702,83.8499984741211,57.49125,2024-04-26
129.25,41.444583,79.135,2.550400018692017,89.01000213623047,1.638000011444092,83.56999969482422,38.596667,2024-04-25
129.0,18.5725,67.322917,2.549900054931641,88.0199966430664,1.652999997138977,82.80999755859375,18.5725,2024-04-24
129.75,5.840417,84.667083,2.579200029373169,88.41999816894531,1.812000036239624,83.36000061035156,5.841667,2024-04-23
